Timestamp_ms,RSSI_dBm,Zone,Actual_Distance_m
1000,-28,A,0.3
2000,-30,A,0.3
3000,-27,A,0.3
4000,-31,A,0.3
5000,-29,A,0.3
6000,-26,A,0.3
7000,-32,A,0.3
8000,-33,A,0.3
9000,-25,A,0.3
10000,-29,A,0.3
11000,-28,A,0.3
12000,-30,A,0.3
13000,-27,A,0.3
14000,-31,A,0.3
15000,-29,A,0.3
16000,-26,A,0.3
17000,-32,A,0.3
18000,-33,A,0.3
19000,-25,A,0.3
20000,-29,A,0.3
21000,-28,A,0.3
22000,-30,A,0.3
23000,-27,A,0.3
24000,-31,A,0.3
25000,-29,A,0.3
26000,-26,A,0.3
27000,-32,A,0.3
28000,-33,A,0.3
29000,-25,A,0.3
30000,-29,A,0.3
31000,-48,B,1.0
32000,-50,B,1.0
33000,-52,B,1.0
34000,-49,B,1.0
35000,-51,B,1.0
36000,-53,B,1.0
37000,-47,B,1.0
38000,-50,B,1.0
39000,-52,B,1.0
40000,-48,B,1.0
41000,-50,B,1.0
42000,-52,B,1.0
43000,-49,B,1.0
44000,-51,B,1.0
45000,-53,B,1.0
46000,-47,B,1.0
47000,-50,B,1.0
48000,-52,B,1.0
49000,-48,B,1.0
50000,-50,B,1.0
51000,-52,B,1.0
52000,-49,B,1.0
53000,-51,B,1.0
54000,-53,B,1.0
55000,-47,B,1.0
56000,-50,B,1.0
57000,-52,B,1.0
58000,-48,B,1.0
59000,-50,B,1.0
60000,-52,B,1.0
61000,-58,C,3.0
62000,-60,C,3.0
63000,-59,C,3.0
64000,-61,C,3.0
65000,-57,C,3.0
66000,-62,C,3.0
67000,-58,C,3.0
68000,-60,C,3.0
69000,-59,C,3.0
70000,-61,C,3.0
71000,-57,C,3.0
72000,-62,C,3.0
73000,-58,C,3.0
74000,-60,C,3.0
75000,-59,C,3.0
76000,-61,C,3.0
77000,-57,C,3.0
78000,-62,C,3.0
79000,-58,C,3.0
80000,-60,C,3.0
81000,-59,C,3.0
82000,-61,C,3.0
83000,-57,C,3.0
84000,-62,C,3.0
85000,-58,C,3.0
86000,-60,C,3.0
87000,-59,C,3.0
88000,-61,C,3.0
89000,-57,C,3.0
90000,-62,C,3.0
